name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
ABIGAIL,none,368,"schooner, wood, 2-mast","1849, T.L. Lyons, Black River, OH","99x23x8, 178 t.",1892,Main part of Georgian Bay or North Channel,Huron,“lost”,?,none,?,"none available. Not in 1884 or 92 MVUS, possibly lost before Jul 1. Major repair in 1862 Ashore and damaged in a storm at Muskegon, Mich., in Novbember, 1875. Recovered the following summer.","(hgl,mv),slh+,wl,rsl,nsp",,a,43.794857,-81.836078,estimated_from_place_text_lake_corrected
ABYSSINIA,none,107221,"schooner-barge, wood, 3-mast","1896, Jas. Davidson, W. Bay City",285x44x19 2037g 1916n,"1917, Oct 18","Tecumseh Reef, near Buffalo",Erie,storm,none of 8,none,wheat,"While bound Fort William, Ont, for Buffalo, she was lost from tow of the steamer MARUBA in a gale, went ashore and broke up. One of the largest wooden vessels ever built Owned by Corsica Steamship Co. Wreck located in 1962. Nearly lost in a storm near Eagle Harbor, Mich, Nov 3, 1900.","sbs,vbs,ns2,mv,eas,mpl ,hcgl,svb,ewe","Photo: ABYSSINIA in St. Mary’s R., tug W. F. MERICK on the hip",a,41.623972,-82.2276,estimated_from_place_text
ACACIA,none,C126424,"schooner-barge, wood","1873, W. O’Mara, Smith’s Falls, Ont. as a schooner","102x24x9, 188 t","1903, May 2",Duck Islands,Ontario,storm,?,none,coal,"ACACIA went aground in storm and was declared a total loss. She had been bound Oswego for Kingston. Owned and mastered by Wm. or James Crosby of Kingston. Later recovered, foundered on July 12, 1908. Recovered again and rebuilt to a barge. Sold off the lakes in 1921. Rebuilt 1888. ACACIA in 1905","nsp,h,ns3,mmgl,clu,win,mpl, gld,hcgl,svb",Photo:,a,43.519773,-77.277304,geocoded_lake_centroid_lake_corrected
ACADIA,none,C77697,"propeller, wood [iron-framed],","1867, Malcolmson Bros, Hamilton, Ont.",176x25x10 806g 509n,"1896, Nov 5","Near mouth of Michipicoten R., Ont.",Superior,storm,none,none,grain,"Driven ashore and broken up by gale. Her crew made it to shore, and five of them spent more than week trying to make it to the Soo. Originally 136x25x7, lengthened 40′ in the winter of 1881-2 at Port Dalhousie.","nsp,gwgl,is,h,csv,net,mmgl, win,lss,hgl,hcgl",Photo: ACADIA in the Welland Canal,a,47.022978,-85.826057,geocoded_direct_lake_corrected
ACME,none,297,"propeller, wood, passenger & package freight","1856, G. Hardison, Buffalo","190x33x13, 762 t.","1867, Nov 5 (Mar 4 also given, in error)","15 mi NNE of Dunkirk, NY",Erie,storm,none,none,"7307 bu corn, 2165 bbl flour, 238 bbl & 100 “tierces” beef, 200 tierces of lard and 334 untanned cowhides","Took on water in a gale and was abandoned in her boats. 2 boats landed along about 20 miles of NY coast, while one was picked up by the revenue cutter COMMODORE PERRY. Master: Capt. Dickson Major repair in 1863","nsp,lhl,hgl,rsl,eas",,a,42.359976,-80.899727,estimated_from_place_text_lake_corrected
ACME,"built as MUSIC, renamed in 1892",90671,"propeller, wood, large tug & freighter","1874, Cameron, New Jerusalem, OH","124x24x12, 320g 234n","1893, Oct 14","25 mi from Black River, MI",Huron,foundered,none,none,raft,"She was towing a large log raft from French River, Ontario, in company with the tug RELIANCE, and was running for shelter at Thunder Bay when she foundered. RELIANCE took the crew off the sinking vessel in a very risky rescue. She lies in about 225 feet of water. Owned out of Bay City by Michigan Log Towing, she was once a Reid Wrecking tug. Master: Capt. Dore Elliott, W. Bay City. Major repairs in 1881","nsp,slh,mv,phr,wb,hgl,mpl",Photo: Tug ACME at build as MUSIC,a,44.490188,-82.473952,geocoded_lake_centroid
ACME,none,107039,"propeller steam tug, wood","1893, O’Grady & Mahar, Buffalo",67x17x10 59g 29n,"1902, Apr 15",near Buffalo,Erie,collision,none of 4,none,none,"She was breaking ice when when she jammed in and was rammed from behind by the steamer WILKESBARRE, which she had in tow. Her crew made it off in her raft before she sank and were later picked up by the steamer TOM ADAMS. ACME was not declared lost until August because she lay in only 30 feet of water and was thought recoverable. Iron parts were later recovered for scrap. Owned by Hand & Johnson [Great Lakes Towing], Buffalo","nsp,is,eas,hcgl,ewe,mv",Photo: ACME at Buffalo,a,41.560389,-82.208025,estimated_from_place_text
ACONTIAS,sometimes spelled “Acontious”,1394,"schooner, wood","1866, Detroit*","137x26x11, 264g 251n","1887, Oct 28","at Presque Isle, MI",Huron,storm,none,none,lumber,"Went ashore on Presque Isle while bound Cheboygan for Detroit, in tow of the steambarge ELFIN-MERE. Broke in half and went to pieces shortly after. Declared a total loss in November. Homeport: Detroit. Owner: Hurley *This is official, but she was actually built in 1856 at Oswego by Jas. Baker [carpenter: J Navagh] and appears in newspapers from that year on. [Build information above is from mv]. Actually just rebuilt at Detroit in 1866 by J. P. Clark. This vessel went on a rock and was wrecked at Clay Bank, Lake Erie, 33 miles SE of Detroit, in November, 1863. Out of Oswego.","nsp,slh,mv,osdo,hgl,mpl,nsp,rp, hr,wmn,glmd, wl,mr",,a,43.828636,-82.583585,estimated_from_place_text
ACORN,none,none,"schoooner, wood","1842, T.H. Cobb, Black R. [Charleston] OH","84x20x8, 125 t.","1849, July 31",near West Sister Island,Erie,collision,none,none,"flour, oil cake, hoop peles (sic)","Collided with propeller TROY and sank. TROY struck ACORN directly amidships and the schooner foundered quickly. Her crew made it to the TROY. Master: Capt. Thos. H. Cobb. Later recovered and lasted to at least 1852. On Aug 31, 1842, bound Buffalo for Chicago on a particularly dark night, she collided with the schooner EMILY and sank off Vermilion, Oh, in 60 ft of water. One life was lost.There were 45 immigrants on board, who lost about $4000 in gold with the wreck.","is(4-65),slh,(hgl),nsp,wl,ledc,wmhs",,a,42.185624,-80.982125,estimated_from_place_text_lake_corrected
ACORN,none,C,"schooner, wood","1844, Acker, Port Hope, Ont.",92 t.,"1869, Oct 26",1 mi E of Oswego harbor,Ontario,storm,none,none,lumber,"Went ashore in a gale along with several other schooners and became a total wreck. She was reported as “an old vessel, and not over and above seaworthy.” Some lists still show her in 1871, but not later.","nsp,rsl,clu,wmn",,a,43.624254,-77.212833,estimated_from_place_text_lake_corrected
ACTIVE,none,none,"schooner, wood","1845 Green Bay, Wis.","49x14x4, 25 t.","1855, Oct 10","off Port Washington, Wisc.",Michigan,storm,none of 3,none,shingles,"Bound Manitowoc for Chicago, she capsized in a squall. Her tiny crew clung to her upturned hull until rescued in a risky maneuver by the schooner THORNTON on the 11 th . She was last seen floating bottom-up by the prop SCIOTA on the 13 th , 15 miles off Milwaukee. No record of her after this date. Owned by Ealinger or Esslinger of Manitowoc. Vessel and cargo worth about $2500. Master: Capt. A. Rogers. Struck a bar and sunk off Manitowoc in June of the same year.","nsp,wl,jm,wmhs,sm,whs,wls",,a,43.288155,-87.592338,estimated_from_place_text
ACTIVE,none,105087,"schooner, wood, 2-mast","1869, Martin Olson, Sheboygan, Wis","69x17x6, 51g","1898, Sep 29","just off Ford River, Wis",Michigan,storm,none,none,40 t. hay,"Bound Sister Bay for Ford River, she went ashore near the pier when her captain mistook the lights of a home for the pier light. She piled ashore 2 miles south of the pier, where she later went to pieces.","wgts,hr,mv,wmhs",Photo: ACTIVE ashore,a,45.043878,-86.884526,geocoded_direct_lake_corrected
ADA,?,?,"schooner, wood","? (1857, E.L. Herrick, Fairport, OH – ADDA)","? (88x22x6, 110 t.)",1859,"near Collingwood, Ont.",Huron,“sank”,?,none,?,Went down within sight of Collingwood,"slh,hgl,wl not in mmgl",,a,44.5,-81.816,geocoded_near_at_lake_corrected
ADA,none,100598,"schooner, wood","1888, South Arm, MI","52x13x5, 15g 14n","1894, Sep 26","at Manistique, Mich",Michigan,storm,none of 2,none,?,"She was overwhelmed and cast on the beach east of the Manistique breakwater in a big storm, but both of her crewmen were rescued. Out of Grand Haven","hgl,mv,bb,nsp,hr",,a,44.73,-86.625,geocoded_near_at_lake_corrected
W.A. ADAIR,none,none,"schooner, wood, 2 mast","1845, Jacob Walker, Black River, Oh","60x18x7, 61 t.","1860, Oct","near Dunkirk, NY",Erie,storm,none,none,coal,"Bound Buffalo to Erie, she tried to put into Dunkirk when she sprang a leak in a gale. She was run ashore in an attempt to save the crew and vessel, but only the crew survived.","eas,wb,h,wmn,wl",,a,42.397849,-80.95633,estimated_from_place_text_lake_corrected
E.S. ADAMS,also seen as E. G. ADAMS,C33502,"bark, wood, 3-mast","1857, J & J Abbey, Port Robinson, Ont.","135x26x12, 341 gc","1863, Oct 20",7.8 mi E of Pt. Pelee,Erie,collision,1,1,"18,500 bu wheat","On a clear night, with both vessels properly lit and tacking, the downbound ADAMS collided with the upbound American bark CONSTITUTION, resulting in the loss of the ADAMS. No blame was attached to either vessel. Owned by Norris & Neeland, St. Catharines (also shown as owned out of Montreal). Document surrendered Mar 5, 1866, annotated “lost”..","mmgl,nsp,hgl,umr",,a,42.218327,-81.331878,estimated_from_place_text
FREDDIE ADAMS,none,C122080,"propeller tug, wood","1906, G. Adams, Parry Sound, Ont.","40x9x5, 16gc 11nc",1909,"Depot Harbour, E side of Parry Sound",Huron,fire,?,none,none,"Burned to total loss. Registration closed Sep 13, 1920","mmgl,hr",,a,45.089449,-80.142486,estimated_from_place_text
GEORGE W. ADAMS,none,85393,"schooner-barge, wood, bulk freight","1875, Bailey Bros., Toledo as a 4-mast schooner",231x40x20 1444g 1372n,"1895, Dec 11",near Colchester shoal,Erie,ice,none,none,coal,"Her hull was crushed by ice while she was bound Cleveland for Chicago in tow of the steamer CALEDONIA and she foundered. A big salvage operation on her the next summer was a failure. Owned by James Corrigan, Cleveland. The Anchor Line propeller CONEMAUGH lost her prop and stranded on the wreck when she struck it in the low-water year of 1901. Stranded with damage on North Manitou in fall of 1885. See WILLIAM T. GRAVES. She was reported at the time of her launch to be the largest sail vessel on the lakes.","h,mv,ledc,nsp,do2,wb,win, hgl,mpl",Photo: GEORGE ADAMS at Detroit Dry Dock,a,42.843044,-79.209872,estimated_from_place_text_lake_corrected
ADDA,none,1548,"scow-schooner, wood","1857, Herrick & Hayes, Fairport, Ohio",89 t.,"1872, Aug 28",unreported,Michigan,“lost”,none mentioned,none,?,"Reported as sunk and wrecked. Out of Chicago. Last known registration, Apr 1872. Owned by Geo. Halveston, Chicago in 1871.","cbt,hr,glmd,wl,glmd",,a,43.464512,-87.036197,geocoded_lake_centroid
ADDAIN,also seen as ADAIN,1408,"schooner(-scow), wood","1854, Trenton, MI","76x20x7, 62 t.","1890, Oct 18","near Grindstone City, MI",Huron,storm,none of 3,none,none,"Bound Port Huron for Grindstone City, she was driven ashore by a gale and became a total loss. The Lifesaving Service rescued her crew. Sunk at Pt. Pelee in May, 1870, with loss of one life. Rebuilt at Port Huron, 1868 Rebuilt in 1864","phr,mv,usls,slh,h,hgl,wl,wmn",,a,43.978,-82.932,geocoded_direct_lake_corrected
ADDIE,none,105168,"schooner, wood, 2-mast","1872, J. Randall, Benton Harbor",64x16x5 30g 29n,"1897, Oct 5","near Frankfort, MI",Michigan,storm,?,none,household goods,"No detail. Shoved between rows of pilings at Lakeside, MI in 1877 and heavily damaged. Also wrecked and temporarily abandoned near Muskegon in 1887. Rebuilt in 1882.","nsp,h,mv,hgl,usls","Image from Dowling collection, UDM",a,44.63,-86.24,geocoded_near_at
ADDIE B,?,?,"schooner, wood, trader",?,“small”,"1888, Nov 28 or 29","near Caseville, MI",Huron,storm,none mentioned,none,produce,"Stranded on a bar, broke in two, and declared a total loss. Out of Au Sable, MI.","slh,nsp, jb not in mmgl, ‘84 mvus",,a,44.22,-82.89,geocoded_near_at_lake_corrected
ADELE,none,107191,"propeller tug and passenger ferry, wood, motor [formerly a steamer]","1889, Dulac, Mt. Clemens, MI","48x10x4, 9g 6n",1936,"Drummond Island, MI",Huron,fire,?,none,none,"Burned, no detail. May have been burned by vandals after being abandoned much earlier.","mv,slh,hr",,a,44.770643,-82.915819,estimated_from_place_text_lake_corrected
ADELL,none,none,"schooner, wood, 2-mast","1860, Milwaukee","48x12x5, 25 gt.","1869, Nov 16","1/2 mile below Bay View pier, WI [near Milwaukee]",Michigan,storm,none,none,wood,"Driven ashore and pounded to pieces. Her skipper, who had his every penny sunk into the craft, was able to salvage her rigging and spars and left them on the beach overnight, only to find all was stolen the next day. Reported completely broken up by the 26th, but one source says she was recovered. Master and owner: Fred Webster, Milwaukee. Rebuilt, 1862","nsp,mpl,bb,mdwl,hgl,whs,hr,wls",,a,43.090512,-87.817012,estimated_from_place_text
ADIRAMLED,"built as CITY OF FREMONT, renamed in 1908",C130922,"propeller, wood, bulk freighter","1866, Quayle & Sons, Cleveland [US#4379]",198x27x10 630g,"1912, Jun 18","6 miles E of Stoney Isl., Dutch John Bay",Ontario,hull failure,?,none,RR rails & coal,"Her seams opened under the weight of a heavy cargo and she sank. She was probably overloaded. Owned by Lachine Transportation Co. Sold Canadian, 1912 Built as passenger/package freighter, rebuilt to bulk freighter at Chicago in 1906. Rebuilt & lengthened in 1870.","mmgl,win,ns2,h,mv,mpl,hcgl,svb",Photo: As CITY OF FREMONT in 1887,a,43.53443,-77.310119,estimated_from_place_text_lake_corrected
ADIRONDACK,also seen as ADIRONDAC,1385,"schooner, wood, 3-mast","1862, John Oades, Clayton, NY","139x26x11, 300g 285n","1893, Sep 14",South Manitou Isl.,Michigan,storm,none,none,bark,"Bound for Chicago, she reported herself stranded in a heavy fog and gale. She was stripped and abandoned by the 20th. Out of Chicago","wb,mv,hgl,nsp,rsl,wl,bb,hr",,a,43.485045,-87.01281,estimated_from_place_text_lake_corrected
BELLE ADKINS,also seen as BELLE ATKINS,none,"schooner, wood","1856, D. Hause, Wilson, NY","134x26x12, 394 t.","1857, Feb 8","E of Oswego, NY",Ontario,flood,none,none,none,"Washed off her winter moorings and out of the Oswego River by a “freshet” (i.e spring runoff flood) and sunk near Port Ontario. She was towed all the way back in by rowboat and a volunteer crew, but soon broke up in a storm of the 10th . Master probably Capt. Daniels. Owned by Collins & Abbey.","hgl,osdo,nsp,rp,tol",,a,43.571821,-77.186908,estimated_from_place_text_lake_corrected
ADMIRAL,none,C,"schooner, wood","1854, Stevens, Port Hope",167 t.,"1867, Nov 4",near Toronto,Ontario,storm,1,1,lumber,"Tried to leave Toronto harbor where she had been sheltering in what turned out to be a lull in the storm. The storm renewed and drove the schooner ashore near the lighthouse, where she broke up after a half-day of pounding. Refastened and strengthened in 1861. Probably out of Hamilton. Some sourcess report that she was built as the propeller ADMIRAL, which burned at Toronto in June, 1853, then rebuilt to this schooner in 1862. Other sources give the information above.","nsp,hgl,rsl,wmn",,a,43.457152,-77.304725,estimated_from_place_text_lake_corrected
ADMIRAL,none,106156,"propeller steam tug, wood","1883, Miller Bros., Chicago",49g 24n,"1884, Dec 31",Chicago River near 22 nd St. (now Cermak Dr.),Michigan,boiler explosion,3 to 5 [all],5,none,This tug’s boiler exploded while she was trying to dock the barge D. M. WILSON. Pieces of the tug and remains of her crew were scattered all over the lumber docks. Hailed from Chicago. Master: Capt. Andrew Green(d).,"mv,h,hgl,usls,is,nsp,hr",,a,43.521497,-86.935516,estimated_from_place_text_lake_corrected
ADMIRAL,"built as W.H. MEYER, renamed in 1942",222239,"propeller tug, steel","1922, Manitowoc Ship Building Co., Manitowoc, WI","93x21x12, 130g 88n","1942, Dec 2","Off Avon Pt., Cleveland",Erie,storm,14,14,none [barge],"Towing barge CLEVECO (qv), she encountered a heavy gale & began to founder. She radioed in, but C.G. was unable to locate her in the murk before she went down. Owned by Cleveland Tankers, Cleveland. Wreck located by a commercial diver in 1969 Completely rebuilt in 1942. Had the machinery from an earlier tug W.H. MEYER [US#81637]","eas,is(2-60,4-69),mol,gs,sol,lm, wm2,le,h,mpl,pc,hcgl",,a,42.744272,-79.595011,estimated_from_place_text_lake_corrected
ADRIATIC,none,302,"schooner-barge, wood, 3-mast","1856, VanSlyke & Notter, Buffalo as a propeller","178x31x13, 825 t.","1872, Sep 29",near Long Point.,Erie,storm,7 [all],7,light,"She was in tow of the tug MOORE with three other barges (see BALTIC). She became separated from the tow in a gale and foundered. Bound for Saginaw. Some sources say she was lost in Thunder Bay, MI. Noted in 1874 Merchant Vessels as “lost.”","nsp,slh,(mv),hgl,mpl,mv",,a,42.509264,-80.063035,estimated_from_place_text
ADVANCE,none,29091,"scow-schooner, wood","1857 or 67, R. Hayes, Fairport",49 t,"1871, Jul 12","near Put-in-Bay, S. Bass Isl.",Erie,Collision,none,none,coal,"Collided with steamer U.S. GRANT and sank. Bound for Detroit from Cleveland. Her crew escaped in her yawl. Homeport: Fairport. Owned by Gallucia and Barnes, Fairport.","ledc,hgl,nsp,wl,hr",,a,42.223149,-81.008867,geocoded_lake_centroid
ADVANCE,none,C32937,"paddle tug, wood","1854, J. Wilson, Quebec","164x27x11, 373 t.","1872, Sep 29*","Nicholson Isl., near Port Union, Ont.",Ontario,storm,none mentioned,none,raft in tow,"Stranded and reported a total loss while outbound from Toronto. Out of Port Colborne * date from newspaper acounts, but Oct 15, 1871 is official date of loss. Spent most of her career as a St. Lawrence River tug","clu,win,hgl,nsp,wl,mmgl",,a,43.616455,-77.159212,estimated_from_place_text_lake_corrected
ADVANCE,none,365,"schooner, wood, bulk freight","1853, J.M. Jones, Milwaukee","119x26x10, 180g 171n","1885, Sep 8","10 mi N. of Port Washington, WI",Michigan,storm,6 of 7,6,bark,"Waterlogged and capsized in a gale and blinding rain while bound Ahnapee, Wis. for Chicago. All but one of crew drowned when her yawl capsized in the surf. Captain’s son was included in the lost. Master: Capt. John Paulson(d). Hailed from Chicago Major repair in 1861","nsp,h,lmdc,mv,hgl,usls,bb,rsl,hr",,a,43.288574,-87.617748,estimated_from_place_text
ADVANCE,none,C90775,"propeller tug/packet, wood","1886, W. Bertman, Windsor, Ont.","49x15x4, 72gc 49nc","1903, Oct 25",Between Spanish River and the Soo,Huron,fire,none,none,general merchandise,"Caught fire and burned to a total loss. She was towed to the Soo while fully ablaze, where American tugs and the revenue steamer MORRILL put her out. Canadian official records identify her as this tug, though newspaper reports say she was bound Montreal for Fort William, which would seem to indicate a larger vessel – perhaps the former TILLEY, below. Owned by Wm. A Kennedy, Manitoulin Isl.","nsp,mmgl,hcgl,wl",,a,43.918168,-81.782061,estimated_from_place_text_lake_corrected
ADVANCE,none,105102,"lighter-barge, wood","1871, A. A. Turner, Trenton, Mich as a 2-mast schooner","139x29x11, 367g 348n","1921, Oct 19","at Sand Bay, Wis.",Michigan,storm,none,none,coal and lightering gear including two derricks,"She was in the process of lightering the stranded steamer FRANK BILLINGS when she was caught by a storm. Abandoned by her tug, she was allowed to drift toward shore. Her crew was rescued by the Coast Guard just before she struck. Her bottom was heavily damaged on the rocks and it was decided the 50-year-old vessel could not be repaired. She was officially abandoned in 1922. Owned by Leathem D Smith Company, Sturgeon Bay. Converted from a schooner to a barge in 1911 and later equipped as a lighter.","wgts,mv,bb,hcgl,hr",,a,45.1,-86.67,geocoded_near_at
ADVANCE,"built as SIR S.L. TILLEY, renamed 1899",C88632,"propeller, wood, bulk freight","1884, Shickluna, St. Catharines, Ont.",175x35x15 1031gc 358nc,"1927, May 12",Manitoulin Isl.,Huron,stranded (storm),none,none,?,"Went on the rocks near the island. Of little value but she was salvaged anyway, later declared a constructive total loss. SIR S.L. TILLEY was rebuilt to this vessel after a disastrous fire in 1899 (qv) In 1889, in what has to be one of the worst examples of navigation in lakes shipping history, she had to pay damages after striking a U. S. lighthouse at the mouth of the Detroit River. Lengthened from 168 ft in 1904.","slh,csv,(nsp),h,mmgl,es3-2,hcgl,pdw",,a,43.876183,-81.804721,estimated_from_place_text_lake_corrected
ADVENTURE,?,C none,"schooner, wood",?,“small”,"1848, Oct","off Grand River, Ont.",Ontario,foundered,3 [all],3,stone,No other detail,"is,hgl not in mmgl",,a,43.437832,-78.842644,exact_lake_corrected
ADVENTURE,none,105567,"propeller, wood, bulk freight","1875, J.Oades, Detroit as a schooner",108x28x8 142 g 95n,"1903, Oct 7",at Kelley’s Isl.,Erie,fire,none,none,lime,"Caught fire while tied to the Kelley’s Isl. Lime and Transport Co. dock. The blaze spread so quickly that those on board barely escaped. Taken in tow by tug SMITH and pulled out into the lake to save the dock and adjacent schooner ANDERSON. Owned by B.,S. & L. of St Clair. Master: Capt. John Lowes. Built as a 104x24x8 schooner, converted to prop in 1897 (at J. Davidson Shipyard, W. Bay City.)","nsp,ns1,mv,ledc,phr,adv,hcgl,ew",,a,41.63333333333333,-82.68333333333334,exact
ADVENTURER,none,107174,"propeller steam tug, wood","1895, Two Harbors, MN","52x11x6, 16 gt.","1906, Dec 16","near Ontonagon , MI",Superior,storm,none,none,none,Broke her moorings and went adrift in gale. Driven on a rocky shore and pounded to pieces. No one was aboard at the time.,"nsp,lss,df,hcgl,mv",,a,46.87,-89.32,geocoded_near_at
AETNA,none,358,"schooner, wood","1865, Bailey, Madison Dock, OH",317 g,1890,Manitou Passage,Michigan,foundered,?,none,coal,"Single report that she went down in calm weather while under full sail Ashore near Long Tail Point, Chicago, in Nov., 1877, with heavy damage. Also severely damaged in another Lake Mich accident, Oct., 1878. Few sources show this vessel Rebuilt from a two to a three master at Chicago in the winter of 1875-6.","bb,mv,wl,nsp,hr",,a,43.424289,-87.041974,estimated_from_place_text_lake_corrected
AFRICA,none,C92285,"propeller, wood, steambarge (former passenger)","1873, W. Power & Co., Kingston, Ont.","148x26x13, 482gc 328nc","1895, Oct 5",15 mi S of Cove Isl. light,Huron,storm,13 [all],13,"coal, misc frt","Making for Georgian Bay, she struck a reef, broke up & foundered. Towing schooner SEVERN, which she let go and then disappeared. Bound Ashtabula for Owen Sound. Owned out of Owen Sound, owner: Mrs. A. R. Christie. Master: Capt. H. P. Larsen(d). Almost destroyed by fire at Kingston, Ont, in ’88 – had a major rebuild (orig 136x24ft, 652g) and number assigned at that time. Also burned at Owen Sound in 1886, rebuilt afterwards.","nsp,is(1&3-45,4-63),mmgl,slh,lh,sol,h,lhdc,csv,win,hgl,hcgl",,a,45.058917,-83.060792,estimated_from_place_text
AGATE,?,none,"schooner (or slp.), wood","(1850, Buffalo)",(22 t.),"1857, late Nov","near Presque Isle, MI",Huron,storm,none,none,whet and flour,"Went ashore and broke up in a storm. Her crew abandoned her as a total loss and came to Detroit on the steamer SAM WARD, along with the crews of two other shipwrecks.","slh,nsp,hcgl (wmhs)",,a,43.856817,-82.597968,estimated_from_place_text
AGAWA,"rebuilt to ROBERT P DURHAM(‘28) later HERON BAY(‘40), FEDERAL HUSKY (’63)",C111807,"propeller, steel, bulk freight","1902, Collingwood, Ont. as a barge",379x46x26 3759gc 2468nc,"1927, Dec 7",Manitoulin Isl,Huron,storm,none,none,"200,000 bu wheat","Stranded on Advance Reef in a blizzard and declared a total loss by underwriters. Her crew was taken off by the American tug GENERAL on Dec. 11. She was salvaged and returned to service by Reid Wrecking Co. (repaired at Collingwood). Owned by Algoma Central Steamship Co., Sault Ste. Marie, Ont. Built as a barge, converted to steamer, ’06. Rebuilt as a barge again in ’63, scrapped in Spain in 1966.","mmgl,slh,sol,s,csv,gld,hcgl,dr",,a,43.900916,-81.839991,estimated_from_place_text_lake_corrected
